Tape ID   Status    State            Usable(GB)  Used(GB)  Available(GB)  Reclaimable%  Pool        Library    Location  Task ID
B00069JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00070JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00071JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00072JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00073JE  ok        appendable            19485     19481              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00074JE  ok        appendable            19485     19482              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00075JE  ok        appendable            19485     19479              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00076JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00077JE  ok        appendable            19485     19475              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00078JE  ok        appendable            19485     19472             12            0%  gpfsODC001  BelferLib  homeslot  -      
B00079JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00080JE  ok        unassigned                0         0              0            0%  -           BelferLib  ieslot    -      
B00081JE  ok        appendable            19485     19478              6            2%  gpfsODC001  BelferLib  homeslot  -      
B00082JE  ok        appendable            19485     19471             13            4%  gpfsODC001  BelferLib  homeslot  -      
B00083JE  ok        data_full             19485     19484              1           11%  gpfsODC001  BelferLib  homeslot  -      
B00084JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00085JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00086JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00087JE  ok        appendable            19485     19473             11            2%  gpfsODC001  BelferLib  homeslot  -      
B00088JE  ok        appendable            19485     19475             10            3%  gpfsODC001  BelferLib  homeslot  -      
B00089JE  ok        appendable            19485     19467             17            5%  gpfsODC001  BelferLib  homeslot  -      
B00090JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00091JE  ok        appendable            19485     19465             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00092JE  ok        appendable            19485     19464             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00093JE  ok        appendable            19485     19469             15            0%  gpfsODC001  BelferLib  homeslot  -      
B00094JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00095JE  ok        appendable            19485     19477              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00096JE  ok        appendable            19485     19470             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00097JE  ok        appendable            19485     19480              4            0%  gpfsODC001  BelferLib  homeslot  -      
B00098JE  ok        appendable            19485     19468             17            0%  gpfsODC001  BelferLib  homeslot  -      
B00099JE  ok        appendable            19485     19478              7            0%  gpfsODC001  BelferLib  homeslot  -      
B00100JE  ok        appendable            19485     19461             23            0%  gpfsODC001  BelferLib  homeslot  -      
B00101JE  ok        data_full             19485     19485              0            0%  gpfsODC001  BelferLib  homeslot  -      
B00102JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00103JE  ok        appendable            19485     19460             24            0%  gpfsODC001  BelferLib  homeslot  -      
B00104JE  ok        appendable            19485     19441             44            0%  gpfsODC001  BelferLib  homeslot  -      
B00105JE  ok        appendable            19485     19433             51            0%  gpfsODC001  BelferLib  homeslot  -      
B00106JE  ok        appendable            19485     19471             14            3%  gpfsODC001  BelferLib  homeslot  -      
B00107JE  ok        unassigned                0         0              0            0%  -           BelferLib  ieslot    -      
B00108JE  ok        unassigned                0         0              0            0%  -           BelferLib  ieslot    -      
B00109JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00110JE  ok        appendable            19485     19469             16            0%  gpfsODC001  BelferLib  homeslot  -      
B00111JE  ok        appendable            19485     19410             74            0%  gpfsODC001  BelferLib  homeslot  -      
B00112JE  ok        appendable            19485     17532           1952            0%  gpfsODC001  BelferLib  drive     -      
B00113JE  ok        appendable            19485     18006           1479            0%  gpfsODC001  BelferLib  drive     -      
B00114JE  ok        appendable            19485     11869           7615            0%  gpfsODC001  BelferLib  drive     -      
B00115JE  ok        appendable            19485      6846          12638           35%  gpfsODC001  BelferLib  drive     84381  
B00116JE  ok        unassigned                0         0              0            0%  -           BelferLib  homeslot  -      
B00117JE  ok        appendable            19485      5827          13658            0%  gpfsODC001  BelferLib  drive     -      
B00118JE  ok        appendable            19485      5135          14349            0%  gpfsODC001  BelferLib  drive     -      
B00119JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  drive     84381  
B00120JE  ok        appendable            19485     19461             23            0%  gpfsODC001  BelferLib  homeslot  -      
B00121JE  ok        appendable            19485      1828          17657            0%  gpfsODC001  BelferLib  drive     -      
B00122JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00123JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00124JE  ok        appendable            19485     19480              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00125JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00126JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00127JE  ok        appendable            19485     19475              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00128JE  ok        appendable            19485     19469             15            0%  gpfsODC001  BelferLib  homeslot  -      
B00129JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00130JE  ok        appendable            19485     19471             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00131JE  ok        appendable            19485     19471             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00132JE  ok        appendable            19485     19464             20            0%  gpfsODC001  BelferLib  homeslot  -      
B00133JE  ok        appendable            19485     19482              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00134JE  ok        appendable            19485     19476              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00135JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00136JE  ok        appendable            19485     19473             11            0%  gpfsODC001  BelferLib  homeslot  -      
B00137JE  ok        appendable            19485     19475              9            0%  gpfsODC001  BelferLib  homeslot  -      
B00138JE  ok        appendable            19485     19472             13            0%  gpfsODC001  BelferLib  homeslot  -      
B00139JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00140JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00141JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00142JE  ok        appendable            19485     19470             14            0%  gpfsODC001  BelferLib  homeslot  -      
B00143JE  ok        appendable            19485     19474             10            0%  gpfsODC001  BelferLib  homeslot  -      
B00144JE  ok        appendable            19485     19483              2            0%  gpfsODC001  BelferLib  homeslot  -      
B00145JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00146JE  ok        appendable            19485     19467             17            0%  gpfsODC001  BelferLib  homeslot  -      
B00147JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00148JE  ok        appendable            19485     19473             11            0%  gpfsODC001  BelferLib  homeslot  -      
B00149JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00150JE  ok        appendable            19485     19477              8            0%  gpfsODC001  BelferLib  homeslot  -      
B00151JE  ok        appendable            19485     19469             15            0%  gpfsODC001  BelferLib  homeslot  -      
B00152JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00153JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00154JE  ok        appendable            19485     19478              6            0%  gpfsODC001  BelferLib  homeslot  -      
B00155JE  ok        appendable            19485     19484              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00156JE  ok        appendable            19485     19479              5            0%  gpfsODC001  BelferLib  homeslot  -      
B00157JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00158JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00159JE  ok        appendable            19485     19483              1            0%  gpfsODC001  BelferLib  homeslot  -      
B00160JE  ok        unassigned                0         0              0            0%  -           BelferLib  homeslot  -      
B00161JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00162JE  ok        unassigned                0         0              0            0%  -           BelferLib  homeslot  -      
B00163JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00164JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00165JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00166JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00167JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00168JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00169JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00170JE  ok        appendable            19485     19478              6            2%  gpfsODC001  BelferLib  homeslot  -      
B00171JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00172JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00173JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00174JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00175JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00176JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00177JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00178JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00179JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00180JE  ok        appendable            19485     19481              3            0%  gpfsODC001  BelferLib  homeslot  -      
B00181JE  ok        appendable            19485         0          19485            0%  gpfsODC001  BelferLib  homeslot  -      
B00182JE  ok        appendable            19485     19475              9            0%  gpfsODC001  BelferLib  homeslot  -      
